Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,69.010002,69.419998,68.610001,69.000000,68.631920,84814
2023-06-06,69.010002,69.400002,67.910004,68.110001,67.746674,224583
2023-06-07,68.080002,68.389999,66.169998,66.180000,65.826965,325350
2023-06-09,66.190002,67.300003,66.139999,66.239998,65.886650,159789
2023-06-12,66.669998,67.389999,66.199997,67.389999,67.030502,167828
2023-06-13,67.540001,68.160004,67.000000,67.550003,67.189667,110986
2023-06-14,67.550003,68.400002,67.220001,67.489998,67.129967,175686
2023-06-15,67.510002,69.949997,67.480003,69.739998,69.367973,134856
2023-06-16,70.269997,70.970001,68.879997,68.879997,68.512566,264175
2023-06-19,68.879997,72.000000,68.349998,68.349998,67.985390,30364
2023-06-20,68.040001,68.300003,67.110001,67.489998,67.129967,240013
2023-06-21,67.970001,67.970001,65.970001,66.389999,66.035843,127987
2023-06-22,66.410004,67.559998,66.330002,67.529999,67.169769,127734
2023-06-23,66.879997,67.279999,66.480003,66.699997,66.344193,481181
2023-06-26,66.320000,66.750000,65.260002,65.260002,64.911873,116439
2023-06-27,65.309998,67.190002,65.309998,66.800003,66.443657,109692
2023-06-28,67.879997,68.400002,67.320000,67.879997,67.517899,213892
2023-06-29,67.879997,68.050003,67.440002,67.660004,67.299072,142114
2023-06-30,68.000000,68.870003,67.830002,68.190002,67.826256,239815
2023-07-03,67.839996,67.849998,67.080002,67.470001,67.110085,83454
2023-07-04,67.849998,67.849998,67.400002,67.400002,67.040459,16145
2023-07-05,67.550003,69.089996,67.550003,68.260002,67.895874,299876
2023-07-06,68.900002,70.410004,68.120003,70.010002,69.636543,333494
2023-07-07,69.790001,69.790001,68.279999,68.279999,67.915764,278868
2023-07-10,68.010002,68.010002,66.449997,67.250000,66.891266,118076
2023-07-11,67.900002,67.900002,66.790001,67.190002,66.831581,122685
2023-07-12,67.300003,68.489998,67.190002,67.610001,67.249344,122954
2023-07-13,68.000000,68.620003,67.709999,68.339996,67.975449,89140
2023-07-14,69.059998,70.269997,68.790001,68.800003,68.432999,173556
2023-07-17,69.330002,69.980003,69.059998,69.059998,68.691605,181183
2023-07-18,69.120003,73.349998,68.589996,72.120003,71.735283,507954
2023-07-19,72.250000,72.449997,70.360001,70.739998,70.362640,398506
2023-07-20,70.790001,71.169998,69.129997,69.349998,68.980057,132326
2023-07-21,69.750000,69.750000,67.889999,68.199997,67.836189,315924
2023-07-24,68.199997,68.870003,67.620003,67.760002,67.398537,285605
2023-07-25,68.849998,69.599998,68.209999,68.500000,68.134590,345235
2023-07-26,66.849998,67.980003,65.699997,66.379997,66.025894,369475
2023-07-27,66.800003,67.180000,65.199997,65.400002,65.051140,307961
2023-07-28,65.400002,67.040001,65.400002,66.559998,66.204941,174108
2023-07-31,66.559998,66.680000,65.830002,65.989998,65.637985,159274
2023-08-01,66.099998,67.529999,66.099998,67.339996,66.980782,302881
2023-08-02,66.639999,66.660004,65.349998,65.680000,65.329643,159171
2023-08-03,65.750000,66.989998,65.750000,66.800003,66.443657,473426
2023-08-04,67.199997,67.800003,66.480003,66.680000,66.324310,108816
2023-08-07,66.790001,67.660004,66.790001,67.480003,67.120033,126959
2023-08-08,67.050003,67.360001,66.089996,66.370003,66.015961,146476
2023-08-09,66.900002,66.900002,65.599998,65.940002,65.588249,85192
2023-08-10,66.199997,66.300003,65.070000,65.580002,65.230171,87139
2023-08-11,65.320000,65.839996,65.080002,65.750000,65.399254,162925
2023-08-14,65.900002,66.900002,65.900002,66.860001,66.503342,334016
2023-08-15,66.730003,67.500000,66.599998,66.669998,66.314346,112563
2023-08-16,66.800003,67.080002,66.419998,66.419998,66.161507,161323
2023-08-17,66.419998,66.580002,65.629997,65.629997,65.374580,165998
2023-08-18,65.250000,65.849998,64.620003,65.650002,65.394501,135044
2023-08-21,66.000000,66.949997,65.760002,66.599998,66.340805,150235
2023-08-22,67.000000,67.330002,66.139999,66.440002,66.181427,222263
2023-08-23,66.440002,66.919998,66.000000,66.000000,65.743141,118648
2023-08-24,67.720001,67.720001,65.099998,65.120003,64.866577,173527
2023-08-25,65.300003,65.930000,64.860001,65.699997,65.444305,404687
2023-08-28,65.910004,66.529999,65.500000,65.599998,65.344696,249826
2023-08-29,65.610001,66.650002,65.610001,66.300003,66.041977,271645
2023-08-30,66.699997,66.919998,66.309998,66.800003,66.540024,229952
2023-08-31,67.000000,68.129997,62.750000,67.510002,67.247269,385994
2023-09-01,68.099998,68.099998,67.150002,67.440002,67.177536,241745
2023-09-04,67.730003,67.730003,67.019997,67.300003,67.038086,34227
2023-09-05,67.820000,69.389999,67.790001,68.980003,68.711548,200577
2023-09-06,69.000000,69.349998,68.440002,68.940002,68.671700,776146
2023-09-08,68.349998,69.800003,68.349998,69.180000,68.910759,56717
2023-09-11,69.459999,69.580002,68.940002,69.529999,69.259407,50058
2023-09-12,69.330002,69.550003,68.410004,68.690002,68.422676,63445
2023-09-13,68.349998,69.000000,68.010002,68.989998,68.721504,68211
2023-09-14,69.080002,69.220001,68.470001,68.879997,68.611931,42016
2023-09-15,68.849998,68.849998,66.870003,67.059998,66.799019,127689
2023-09-18,66.699997,66.830002,65.930000,66.540001,66.281036,101364
2023-09-19,66.470001,66.820000,65.739998,66.820000,66.559944,52634
2023-09-20,66.809998,66.809998,65.110001,65.110001,64.856606,440655
2023-09-21,65.519997,66.500000,65.150002,65.849998,65.593719,108184
2023-09-22,66.000000,66.000000,65.019997,65.080002,64.826721,64692
2023-09-25,65.160004,65.849998,65.150002,65.849998,65.593719,78737
2023-09-26,65.580002,65.580002,64.389999,64.800003,64.547813,55772
2023-09-27,65.099998,66.040001,64.930000,65.980003,65.723221,191197
2023-09-28,65.779999,66.230003,65.220001,65.910004,65.653496,143538
2023-09-29,65.809998,66.769997,65.809998,66.239998,65.982208,51785
2023-10-02,66.790001,67.800003,66.410004,67.800003,67.536148,216554
2023-10-03,67.800003,68.050003,66.739998,67.139999,66.878708,88239
2023-10-04,67.290001,68.650002,67.279999,68.419998,68.153725,87043
2023-10-05,68.419998,68.800003,67.879997,68.610001,68.342979,146746
2023-10-06,68.580002,70.730003,68.339996,70.449997,70.175819,124656
2023-10-09,70.150002,70.839996,69.620003,70.449997,70.175819,102541
2023-10-10,70.449997,70.589996,69.040001,69.040001,68.771317,218121
2023-10-11,69.400002,70.029999,69.269997,70.029999,69.757462,42548
2023-10-13,69.809998,70.269997,69.080002,69.510002,69.239479,47862
2023-10-16,69.690002,70.599998,69.599998,69.750000,69.478546,38477
2023-10-17,69.750000,69.750000,69.019997,69.510002,69.239479,96629
2023-10-18,69.650002,70.550003,69.150002,69.449997,69.179710,80799
2023-10-19,70.029999,70.650002,69.669998,69.739998,69.468582,40467
2023-10-20,69.739998,70.070000,68.419998,68.470001,68.203537,79675
2023-10-23,68.470001,69.370003,68.040001,69.050003,68.781273,119053
2023-10-24,69.160004,71.900002,68.260002,71.900002,71.620178,95560
2023-10-25,72.059998,72.059998,70.279999,70.970001,70.693802,208884
2023-10-26,70.970001,71.250000,68.050003,68.050003,67.785164,182911
2023-10-27,68.559998,69.379997,67.779999,68.699997,68.432632,75220
2023-10-30,69.300003,71.029999,68.930000,70.790001,70.514496,165193
2023-10-31,71.190002,71.559998,70.389999,70.790001,70.514496,68070
2023-11-01,71.180000,72.379997,70.980003,71.669998,71.391075,101745
2023-11-03,71.989998,72.309998,70.779999,71.879997,71.600250,75822
2023-11-06,72.070000,73.000000,72.010002,72.410004,72.128204,66364
2023-11-07,72.470001,73.480003,72.470001,73.099998,72.815514,100802
2023-11-08,73.209999,74.279999,73.209999,74.040001,73.751862,94296
2023-11-09,74.300003,74.510002,73.739998,74.099998,73.811615,55658
2023-11-10,74.110001,75.629997,73.860001,75.160004,74.867493,41524
2023-11-13,75.599998,75.910004,74.699997,74.699997,74.409279,202448
2023-11-14,74.800003,75.900002,74.540001,75.349998,75.165466,289560
2023-11-16,75.349998,76.440002,74.949997,76.199997,76.013382,105959
2023-11-17,76.300003,76.449997,75.199997,75.250000,75.065712,97081
2023-11-20,76.000000,76.580002,74.610001,76.559998,76.372505,155724
2023-11-21,76.360001,76.500000,75.589996,76.330002,76.143066,237252
2023-11-22,76.500000,77.760002,76.500000,77.570000,77.380035,200001
2023-11-23,77.029999,77.989998,77.029999,77.449997,77.260323,9137
